year,round,constructorId,points,position,positionText,wins
2010,1,ferrari,43,1,1,1
2010,1,mclaren,21,2,2,0
2010,1,mercedes,18,3,3,0
2010,1,red_bull,16,4,4,0
2010,1,force_india,2,5,5,0
2010,1,williams,1,6,6,0
2010,1,renault,0,7,7,0
2010,1,toro_rosso,0,8,8,0
2010,1,lotus_racing,0,9,9,0
2010,1,sauber,0,10,10,0
2010,1,hrt,0,11,11,0
2010,1,virgin,0,12,12,0
2010,2,ferrari,70,1,1,1
2010,2,mclaren,54,2,2,1
2010,2,mercedes,29,3,3,0
2010,2,renault,18,4,4,0
2010,2,red_bull,18,5,5,0
2010,2,force_india,8,6,6,0
2010,2,williams,5,7,7,0
2010,2,toro_rosso,0,8,8,0
2010,2,sauber,0,9,9,0
2010,2,lotus_racing,0,10,10,0
2010,2,hrt,0,11,11,0
2010,2,virgin,0,12,12,0
2010,3,ferrari,76,1,1,1
2010,3,mclaren,66,2,2,1
2010,3,red_bull,61,3,3,1
2010,3,mercedes,44,4,4,0
2010,3,renault,30,5,5,0
2010,3,force_india,18,6,6,0
2010,3,williams,6,7,7,0
2010,3,toro_rosso,2,8,8,0
2010,3,sauber,0,9,9,0
2010,3,lotus_racing,0,10,10,0
2010,3,hrt,0,11,11,0
2010,3,virgin,0,12,12,0
2010,4,mclaren,109,1,1,2
2010,4,ferrari,90,2,2,1
2010,4,red_bull,73,3,3,1
2010,4,mercedes,60,4,4,0
2010,4,renault,46,5,5,0
2010,4,force_india,18,6,6,0
2010,4,williams,6,7,7,0
2010,4,toro_rosso,2,8,8,0
2010,4,sauber,0,9,9,0
2010,4,lotus_racing,0,10,10,0
2010,4,hrt,0,11,11,0
2010,4,virgin,0,12,12,0
2010,5,mclaren,119,1,1,2
2010,5,ferrari,116,2,2,1
2010,5,red_bull,113,3,3,2
2010,5,mercedes,72,4,4,0
2010,5,renault,50,5,5,0
2010,5,force_india,24,6,6,0
2010,5,williams,8,7,7,0
2010,5,toro_rosso,3,8,8,0
2010,5,sauber,0,9,9,0
2010,5,lotus_racing,0,10,10,0
2010,5,hrt,0,11,11,0
2010,5,virgin,0,12,12,0
2010,6,red_bull,156,1,1,3
2010,6,ferrari,136,2,2,1
2010,6,mclaren,129,3,3,2
2010,6,mercedes,78,4,4,0
2010,6,renault,65,5,5,0
2010,6,force_india,30,6,6,0
2010,6,williams,8,7,7,0
2010,6,toro_rosso,4,8,8,0
2010,6,sauber,0,9,9,0
2010,6,lotus_racing,0,10,10,0
2010,6,hrt,0,11,11,0
2010,6,virgin,0,12,12,0
2010,7,mclaren,172,1,1,3
2010,7,red_bull,171,2,2,3
2010,7,ferrari,146,3,3,1
2010,7,mercedes,100,4,4,0
2010,7,renault,73,5,5,0
2010,7,force_india,32,6,6,0
2010,7,williams,8,7,7,0
2010,7,toro_rosso,4,8,8,0
2010,7,sauber,1,9,9,0
2010,7,lotus_racing,0,10,10,0
2010,7,hrt,0,11,11,0
2010,7,virgin,0,12,12,0
2010,8,mclaren,215,1,1,4
2010,8,red_bull,193,2,2,3
2010,8,ferrari,161,3,3,1
2010,8,mercedes,108,4,4,0
2010,8,renault,79,5,5,0
2010,8,force_india,35,6,6,0
2010,8,toro_rosso,8,7,7,0
2010,8,williams,8,8,8,0
2010,8,sauber,1,9,9,0
2010,8,lotus_racing,0,10,10,0
2010,8,hrt,0,11,11,0
2010,8,virgin,0,12,12,0
2010,9,mclaren,248,1,1,4
2010,9,red_bull,218,2,2,4
2010,9,ferrari,165,3,3,1
2010,9,mercedes,109,4,4,0
2010,9,renault,89,5,5,0
2010,9,force_india,43,6,6,0
2010,9,williams,20,7,7,0
2010,9,toro_rosso,10,8,8,0
2010,9,sauber,7,9,9,0
2010,9,lotus_racing,0,10,10,0
2010,9,hrt,0,11,11,0
2010,9,virgin,0,12,12,0
2010,10,mclaren,278,1,1,4
2010,10,red_bull,249,2,2,5
2010,10,ferrari,165,3,3,1
2010,10,mercedes,126,4,4,0
2010,10,renault,89,5,5,0
2010,10,force_india,47,6,6,0
2010,10,williams,31,7,7,0
2010,10,sauber,15,8,8,0
2010,10,toro_rosso,10,9,9,0
2010,10,lotus_racing,0,10,10,0
2010,10,hrt,0,11,11,0
2010,10,virgin,0,12,12,0
2010,11,mclaren,300,1,1,4
2010,11,red_bull,272,2,2,5
2010,11,ferrari,208,3,3,2
2010,11,mercedes,132,4,4,0
2010,11,renault,96,5,5,0
2010,11,force_india,47,6,6,0
2010,11,williams,31,7,7,0
2010,11,sauber,15,8,8,0
2010,11,toro_rosso,10,9,9,0
2010,11,lotus_racing,0,10,10,0
2010,11,hrt,0,11,11,0
2010,11,virgin,0,12,12,0
2010,12,red_bull,312,1,1,6
2010,12,mclaren,304,2,2,4
2010,12,ferrari,238,3,3,2
2010,12,mercedes,132,4,4,0
2010,12,renault,106,5,5,0
2010,12,force_india,47,6,6,0
2010,12,williams,40,7,7,0
2010,12,sauber,23,8,8,0
2010,12,toro_rosso,10,9,9,0
2010,12,lotus_racing,0,10,10,0
2010,12,hrt,0,11,11,0
2010,12,virgin,0,12,12,0
2010,13,red_bull,330,1,1,6
2010,13,mclaren,329,2,2,5
2010,13,ferrari,250,3,3,2
2010,13,mercedes,146,4,4,0
2010,13,renault,123,5,5,0
2010,13,force_india,58,6,6,0
2010,13,williams,40,7,7,0
2010,13,sauber,27,8,8,0
2010,13,toro_rosso,10,9,9,0
2010,13,lotus_racing,0,10,10,0
2010,13,hrt,0,11,11,0
2010,13,virgin,0,12,12,0
2010,14,red_bull,350,1,1,6
2010,14,mclaren,347,2,2,5
2010,14,ferrari,290,3,3,3
2010,14,mercedes,158,4,4,0
2010,14,renault,127,5,5,0
2010,14,force_india,58,6,6,0
2010,14,williams,47,7,7,0
2010,14,sauber,27,8,8,0
2010,14,toro_rosso,10,9,9,0
2010,14,lotus_racing,0,10,10,0
2010,14,hrt,0,11,11,0
2010,14,virgin,0,12,12,0
2010,15,red_bull,383,1,1,6
2010,15,mclaren,359,2,2,5
2010,15,ferrari,319,3,3,4
2010,15,mercedes,168,4,4,0
2010,15,renault,133,5,5,0
2010,15,force_india,60,6,6,0
2010,15,williams,56,7,7,0
2010,15,sauber,27,8,8,0
2010,15,toro_rosso,10,9,9,0
2010,15,lotus_racing,0,10,10,0
2010,15,hrt,0,11,11,0
2010,15,virgin,0,12,12,0
2010,16,red_bull,426,1,1,7
2010,16,mclaren,381,2,2,5
2010,16,ferrari,334,3,3,4
2010,16,mercedes,176,4,4,0
2010,16,renault,133,5,5,0
2010,16,force_india,60,6,6,0
2010,16,williams,58,7,7,0
2010,16,sauber,37,8,8,0
2010,16,toro_rosso,11,9,9,0
2010,16,lotus_racing,0,10,10,0
2010,16,hrt,0,11,11,0
2010,16,virgin,0,12,12,0
2010,17,red_bull,426,1,1,7
2010,17,mclaren,399,2,2,5
2010,17,ferrari,374,3,3,5
2010,17,mercedes,188,4,4,0
2010,17,renault,143,5,5,0
2010,17,force_india,68,6,6,0
2010,17,williams,65,7,7,0
2010,17,sauber,43,8,8,0
2010,17,toro_rosso,11,9,9,0
2010,17,lotus_racing,0,10,10,0
2010,17,hrt,0,11,11,0
2010,17,virgin,0,12,12,0
2010,18,red_bull,469,1,1,8
2010,18,mclaren,421,2,2,5
2010,18,ferrari,389,3,3,5
2010,18,mercedes,202,4,4,0
2010,18,renault,145,5,5,0
2010,18,williams,69,6,6,0
2010,18,force_india,68,7,7,0
2010,18,sauber,44,8,8,0
2010,18,toro_rosso,11,9,9,0
2010,18,lotus_racing,0,10,10,0
2010,18,hrt,0,11,11,0
2010,18,virgin,0,12,12,0
2010,19,red_bull,498,1,1,9
2010,19,mclaren,454,2,2,5
2010,19,ferrari,396,3,3,5
2010,19,mercedes,214,4,4,0
2010,19,renault,163,5,5,0
2010,19,williams,69,6,6,0
2010,19,force_india,68,7,7,0
2010,19,sauber,44,8,8,0
2010,19,toro_rosso,13,9,9,0
2010,19,lotus_racing,0,10,10,0
2010,19,hrt,0,11,11,0
2010,19,virgin,0,12,12,0
2011,1,red_bull,35,1,1,1
2011,1,mclaren,26,2,2,0
2011,1,ferrari,18,3,3,0
2011,1,renault,15,4,4,0
2011,1,toro_rosso,4,5,5,0
2011,1,force_india,3,6,6,0
2011,1,lotus_racing,0,7,7,0
2011,1,virgin,0,8,8,0
2011,1,williams,0,9,9,0
2011,1,mercedes,0,10,10,0
2011,2,red_bull,72,1,1,2
2011,2,mclaren,48,2,2,0
2011,2,ferrari,36,3,3,0
2011,2,renault,30,4,4,0
2011,2,sauber,6,5,5,0
2011,2,toro_rosso,4,6,6,0
2011,2,force_india,4,7,7,0
2011,2,mercedes,2,8,8,0
2011,2,lotus_racing,0,9,9,0
2011,2,virgin,0,10,10,0
2011,2,williams,0,11,11,0
2011,2,hrt,0,12,12,0
2011,3,red_bull,105,1,1,2
2011,3,mclaren,85,2,2,1
2011,3,ferrari,50,3,3,0
2011,3,renault,32,4,4,0
2011,3,mercedes,16,5,5,0
2011,3,sauber,7,6,6,0
2011,3,toro_rosso,4,7,7,0
2011,3,force_india,4,8,8,0
2011,3,lotus_racing,0,9,9,0
2011,3,williams,0,10,10,0
2011,3,virgin,0,11,11,0
2011,3,hrt,0,12,12,0
2011,4,red_bull,148,1,1,3
2011,4,mclaren,105,2,2,1
2011,4,ferrari,65,3,3,0
2011,4,renault,42,4,4,0
2011,4,mercedes,26,5,5,0
2011,4,sauber,8,6,6,0
2011,4,toro_rosso,6,7,7,0
2011,4,force_india,4,8,8,0
2011,4,lotus_racing,0,9,9,0
2011,4,williams,0,10,10,0
2011,4,virgin,0,11,11,0
2011,4,hrt,0,12,12,0
2011,5,red_bull,185,1,1,4
2011,5,mclaren,138,2,2,1
2011,5,ferrari,75,3,3,0
2011,5,renault,46,4,4,0
2011,5,mercedes,40,5,5,0
2011,5,sauber,11,6,6,0
2011,5,toro_rosso,6,7,7,0
2011,5,force_india,4,8,8,0
2011,5,williams,0,9,9,0
2011,5,lotus_racing,0,10,10,0
2011,5,virgin,0,11,11,0
2011,5,hrt,0,12,12,0
2011,6,red_bull,222,1,1,5
2011,6,mclaren,161,2,2,1
2011,6,ferrari,93,3,3,0
2011,6,renault,50,4,4,0
2011,6,mercedes,40,5,5,0
2011,6,sauber,21,6,6,0
2011,6,force_india,10,7,7,0
2011,6,toro_rosso,7,8,8,0
2011,6,williams,2,9,9,0
2011,6,lotus_racing,0,10,10,0
2011,6,virgin,0,11,11,0
2011,6,hrt,0,12,12,0
2011,7,red_bull,255,1,1,5
2011,7,mclaren,186,2,2,2
2011,7,ferrari,101,3,3,0
2011,7,renault,60,4,4,0
2011,7,mercedes,52,5,5,0
2011,7,sauber,27,6,6,0
2011,7,toro_rosso,12,7,7,0
2011,7,force_india,10,8,8,0
2011,7,williams,4,9,9,0
2011,7,lotus_racing,0,10,10,0
2011,7,hrt,0,11,11,0
2011,7,virgin,0,12,12,0
2011,8,red_bull,295,1,1,6
2011,8,mclaren,206,2,2,2
2011,8,ferrari,129,3,3,0
2011,8,renault,61,4,4,0
2011,8,mercedes,58,5,5,0
2011,8,sauber,27,6,6,0
2011,8,toro_rosso,16,7,7,0
2011,8,force_india,12,8,8,0
2011,8,williams,4,9,9,0
2011,8,lotus_racing,0,10,10,0
2011,8,hrt,0,11,11,0
2011,8,virgin,0,12,12,0
2011,9,red_bull,328,1,1,6
2011,9,mclaren,218,2,2,2
2011,9,ferrari,164,3,3,1
2011,9,mercedes,68,4,4,0
2011,9,renault,65,5,5,0
2011,9,sauber,33,6,6,0
2011,9,toro_rosso,17,7,7,0
2011,9,force_india,12,8,8,0
2011,9,williams,4,9,9,0
2011,9,lotus_racing,0,10,10,0
2011,9,hrt,0,11,11,0
2011,9,virgin,0,12,12,0
2011,10,red_bull,355,1,1,6
2011,10,mclaren,243,2,2,3
2011,10,ferrari,192,3,3,1
2011,10,mercedes,78,4,4,0
2011,10,renault,66,5,5,0
2011,10,sauber,35,6,6,0
2011,10,force_india,20,7,7,0
2011,10,toro_rosso,17,8,8,0
2011,10,williams,4,9,9,0
2011,10,lotus_racing,0,10,10,0
2011,10,hrt,0,11,11,0
2011,10,virgin,0,12,12,0
2011,11,red_bull,383,1,1,6
2011,11,mclaren,280,2,2,4
2011,11,ferrari,215,3,3,1
2011,11,mercedes,80,4,4,0
2011,11,renault,66,5,5,0
2011,11,sauber,35,6,6,0
2011,11,force_india,26,7,7,0
2011,11,toro_rosso,22,8,8,0
2011,11,williams,4,9,9,0
2011,11,lotus_racing,0,10,10,0
2011,11,hrt,0,11,11,0
2011,11,virgin,0,12,12,0
2011,12,red_bull,426,1,1,7
2011,12,mclaren,295,2,2,4
2011,12,ferrari,231,3,3,1
2011,12,mercedes,98,4,4,0
2011,12,renault,68,5,5,0
2011,12,sauber,35,6,6,0
2011,12,force_india,32,7,7,0
2011,12,toro_rosso,22,8,8,0
2011,12,williams,5,9,9,0
2011,12,lotus_racing,0,10,10,0
2011,12,hrt,0,11,11,0
2011,12,virgin,0,12,12,0
2011,13,red_bull,451,1,1,8
2011,13,mclaren,325,2,2,4
2011,13,ferrari,254,3,3,1
2011,13,mercedes,108,4,4,0
2011,13,renault,70,5,5,0
2011,13,force_india,36,6,6,0
2011,13,sauber,35,7,7,0
2011,13,toro_rosso,29,8,8,0
2011,13,williams,5,9,9,0
2011,13,lotus_racing,0,10,10,0
2011,13,hrt,0,11,11,0
2011,13,virgin,0,12,12,0
2011,14,red_bull,491,1,1,9
2011,14,mclaren,353,2,2,4
2011,14,ferrari,268,3,3,1
2011,14,mercedes,114,4,4,0
2011,14,renault,70,5,5,0
2011,14,force_india,48,6,6,0
2011,14,sauber,36,7,7,0
2011,14,toro_rosso,29,8,8,0
2011,14,williams,5,9,9,0
2011,14,lotus_racing,0,10,10,0
2011,14,hrt,0,11,11,0
2011,14,virgin,0,12,12,0
2011,15,red_bull,518,1,1,9
2011,15,mclaren,388,2,2,5
2011,15,ferrari,292,3,3,1
2011,15,mercedes,123,4,4,0
2011,15,renault,72,5,5,0
2011,15,force_india,48,6,6,0
2011,15,sauber,40,7,7,0
2011,15,toro_rosso,29,8,8,0
2011,15,williams,5,9,9,0
2011,15,lotus_racing,0,10,10,0
2011,15,hrt,0,11,11,0
2011,15,virgin,0,12,12,0
2011,16,red_bull,558,1,1,10
2011,16,mclaren,418,2,2,5
2011,16,ferrari,310,3,3,1
2011,16,mercedes,127,4,4,0
2011,16,renault,72,5,5,0
2011,16,force_india,49,6,6,0
2011,16,sauber,40,7,7,0
2011,16,toro_rosso,37,8,8,0
2011,16,williams,5,9,9,0
2011,16,lotus_racing,0,10,10,0
2011,16,hrt,0,11,11,0
2011,16,virgin,0,12,12,0
2011,17,red_bull,595,1,1,11
2011,17,mclaren,442,2,2,5
2011,17,ferrari,325,3,3,1
2011,17,mercedes,145,4,4,0
2011,17,renault,72,5,5,0
2011,17,force_india,51,6,6,0
2011,17,sauber,41,7,7,0
2011,17,toro_rosso,41,8,8,0
2011,17,williams,5,9,9,0
2011,17,lotus_racing,0,10,10,0
2011,17,hrt,0,11,11,0
2011,17,virgin,0,12,12,0
2011,18,red_bull,607,1,1,11
2011,18,mclaren,482,2,2,6
2011,18,ferrari,353,3,3,1
2011,18,mercedes,159,4,4,0
2011,18,renault,72,5,5,0
2011,18,force_india,57,6,6,0
2011,18,sauber,42,7,7,0
2011,18,toro_rosso,41,8,8,0
2011,18,williams,5,9,9,0
2011,18,lotus_racing,0,10,10,0
2011,18,hrt,0,11,11,0
2011,18,virgin,0,12,12,0
2011,19,red_bull,650,1,1,12
2011,19,mclaren,497,2,2,6
2011,19,ferrari,375,3,3,1
2011,19,mercedes,165,4,4,0
2011,19,renault,73,5,5,0
2011,19,force_india,69,6,6,0
2011,19,sauber,44,7,7,0
2011,19,toro_rosso,41,8,8,0
2011,19,williams,5,9,9,0
2011,19,lotus_racing,0,10,10,0
2011,19,hrt,0,11,11,0
2011,19,virgin,0,12,12,0
2012,1,mclaren,40,1,1,1
2012,1,red_bull,30,2,2,0
2012,1,sauber,12,3,3,0
2012,1,ferrari,10,4,4,0
2012,1,lotus_f1,6,5,5,0
2012,1,toro_rosso,2,6,6,0
2012,1,force_india,1,7,7,0
2012,1,mercedes,0,8,8,0
2012,1,williams,0,9,9,0
2012,1,marussia,0,10,10,0
2012,1,caterham,0,11,11,0
2012,2,mclaren,55,1,1,1
2012,2,red_bull,42,2,2,0
2012,2,ferrari,35,3,3,1
2012,2,sauber,30,4,4,0
2012,2,lotus_f1,16,5,5,0
2012,2,force_india,9,6,6,0
2012,2,williams,8,7,7,0
2012,2,toro_rosso,6,8,8,0
2012,2,mercedes,1,9,9,0
2012,2,marussia,0,10,10,0
2012,2,caterham,0,11,11,0
2012,2,hrt,0,12,12,0
2012,3,mclaren,88,1,1,1
2012,3,red_bull,64,2,2,0
2012,3,ferrari,37,3,3,1
2012,3,sauber,31,4,4,0
2012,3,mercedes,26,5,5,1
2012,3,lotus_f1,24,6,6,0
2012,3,williams,18,7,7,0
2012,3,force_india,9,8,8,0
2012,3,toro_rosso,6,9,9,0
2012,3,marussia,0,10,10,0
2012,3,caterham,0,11,11,0
2012,3,hrt,0,12,12,0
2012,4,red_bull,101,1,1,1
2012,4,mclaren,92,2,2,1
2012,4,lotus_f1,57,3,3,0
2012,4,ferrari,45,4,4,1
2012,4,mercedes,37,5,5,1
2012,4,sauber,31,6,6,0
2012,4,williams,18,7,7,0
2012,4,force_india,17,8,8,0
2012,4,toro_rosso,6,9,9,0
2012,4,marussia,0,10,10,0
2012,4,caterham,0,11,11,0
2012,4,hrt,0,12,12,0
2012,5,red_bull,109,1,1,1
2012,5,mclaren,98,2,2,1
2012,5,lotus_f1,84,3,3,0
2012,5,ferrari,63,4,4,1
2012,5,mercedes,43,5,5,1
2012,5,williams,43,6,6,1
2012,5,sauber,41,7,7,0
2012,5,force_india,18,8,8,0
2012,5,toro_rosso,6,9,9,0
2012,5,marussia,0,10,10,0
2012,5,caterham,0,11,11,0
2012,5,hrt,0,12,12,0
2012,6,red_bull,146,1,1,2
2012,6,mclaren,108,2,2,1
2012,6,ferrari,86,3,3,1
2012,6,lotus_f1,86,4,4,0
2012,6,mercedes,61,5,5,1
2012,6,williams,44,6,6,1
2012,6,sauber,41,7,7,0
2012,6,force_india,28,8,8,0
2012,6,toro_rosso,6,9,9,0
2012,6,caterham,0,10,10,0
2012,6,marussia,0,11,11,0
2012,6,hrt,0,12,12,0
2012,7,red_bull,164,1,1,2
2012,7,mclaren,133,2,2,2
2012,7,lotus_f1,108,3,3,0
2012,7,ferrari,97,4,4,1
2012,7,mercedes,69,5,5,1
2012,7,sauber,58,6,6,0
2012,7,williams,44,7,7,1
2012,7,force_india,28,8,8,0
2012,7,toro_rosso,6,9,9,0
2012,7,caterham,0,10,10,0
2012,7,marussia,0,11,11,0
2012,7,hrt,0,12,12,0
2012,8,red_bull,176,1,1,2
2012,8,mclaren,137,2,2,2
2012,8,lotus_f1,126,3,3,0
2012,8,ferrari,122,4,4,2
2012,8,mercedes,92,5,5,1
2012,8,sauber,60,6,6,0
2012,8,williams,45,7,7,1
2012,8,force_india,44,8,8,0
2012,8,toro_rosso,6,9,9,0
2012,8,caterham,0,10,10,0
2012,8,marussia,0,11,11,0
2012,8,hrt,0,12,12,0
2012,9,red_bull,216,1,1,3
2012,9,ferrari,152,2,2,2
2012,9,lotus_f1,144,3,3,0
2012,9,mclaren,142,4,4,2
2012,9,mercedes,98,5,5,1
2012,9,sauber,60,6,6,0
2012,9,williams,47,7,7,1
2012,9,force_india,44,8,8,0
2012,9,toro_rosso,6,9,9,0
2012,9,caterham,0,10,10,0
2012,9,marussia,0,11,11,0
2012,9,hrt,0,12,12,0
2012,10,red_bull,230,1,1,3
2012,10,ferrari,177,2,2,3
2012,10,mclaren,160,3,3,2
2012,10,lotus_f1,159,4,4,0
2012,10,mercedes,105,5,5,1
2012,10,sauber,80,6,6,0
2012,10,williams,47,7,7,1
2012,10,force_india,46,8,8,0
2012,10,toro_rosso,6,9,9,0
2012,10,caterham,0,10,10,0
2012,10,marussia,0,11,11,0
2012,10,hrt,0,12,12,0
2012,11,red_bull,246,1,1,3
2012,11,mclaren,193,2,2,3
2012,11,lotus_f1,192,3,3,0
2012,11,ferrari,189,4,4,3
2012,11,mercedes,106,5,5,1
2012,11,sauber,80,6,6,0
2012,11,williams,53,7,7,1
2012,11,force_india,46,8,8,0
2012,11,toro_rosso,6,9,9,0
2012,11,caterham,0,10,10,0
2012,11,marussia,0,11,11,0
2012,11,hrt,0,12,12,0
2012,12,red_bull,272,1,1,3
2012,12,mclaren,218,2,2,4
2012,12,lotus_f1,207,3,3,0
2012,12,ferrari,199,4,4,3
2012,12,mercedes,112,5,5,1
2012,12,sauber,80,6,6,0
2012,12,force_india,59,7,7,0
2012,12,williams,53,8,8,1
2012,12,toro_rosso,12,9,9,0
2012,12,caterham,0,10,10,0
2012,12,marussia,0,11,11,0
2012,12,hrt,0,12,12,0
2012,13,red_bull,272,1,1,3
2012,13,mclaren,243,2,2,5
2012,13,ferrari,226,3,3,3
2012,13,lotus_f1,217,4,4,0
2012,13,mercedes,126,5,5,1
2012,13,sauber,100,6,6,0
2012,13,force_india,63,7,7,0
2012,13,williams,54,8,8,1
2012,13,toro_rosso,12,9,9,0
2012,13,caterham,0,10,10,0
2012,13,marussia,0,11,11,0
2012,13,hrt,0,12,12,0
2012,14,red_bull,297,1,1,4
2012,14,mclaren,261,2,2,5
2012,14,ferrari,245,3,3,3
2012,14,lotus_f1,231,4,4,0
2012,14,mercedes,136,5,5,1
2012,14,sauber,101,6,6,0
2012,14,force_india,75,7,7,0
2012,14,williams,54,8,8,1
2012,14,toro_rosso,14,9,9,0
2012,14,marussia,0,10,10,0
2012,14,caterham,0,11,11,0
2012,14,hrt,0,12,12,0
2012,15,red_bull,324,1,1,5
2012,15,mclaren,283,2,2,5
2012,15,ferrari,263,3,3,3
2012,15,lotus_f1,239,4,4,0
2012,15,mercedes,136,5,5,1
2012,15,sauber,116,6,6,0
2012,15,force_india,81,7,7,0
2012,15,williams,58,8,8,1
2012,15,toro_rosso,15,9,9,0
2012,15,marussia,0,10,10,0
2012,15,caterham,0,11,11,0
2012,15,hrt,0,12,12,0
2012,16,red_bull,367,1,1,6
2012,16,ferrari,290,2,2,3
2012,16,mclaren,284,3,3,5
2012,16,lotus_f1,255,4,4,0
2012,16,mercedes,136,5,5,1
2012,16,sauber,116,6,6,0
2012,16,force_india,89,7,7,0
2012,16,williams,58,8,8,1
2012,16,toro_rosso,21,9,9,0
2012,16,marussia,0,10,10,0
2012,16,caterham,0,11,11,0
2012,16,hrt,0,12,12,0
2012,17,red_bull,407,1,1,7
2012,17,ferrari,316,2,2,3
2012,17,mclaren,306,3,3,5
2012,17,lotus_f1,263,4,4,0
2012,17,mercedes,136,5,5,1
2012,17,sauber,116,6,6,0
2012,17,force_india,93,7,7,0
2012,17,williams,59,8,8,1
2012,17,toro_rosso,21,9,9,0
2012,17,marussia,0,10,10,0
2012,17,caterham,0,11,11,0
2012,17,hrt,0,12,12,0
2012,18,red_bull,422,1,1,7
2012,18,ferrari,340,2,2,3
2012,18,mclaren,318,3,3,5
2012,18,lotus_f1,288,4,4,1
2012,18,mercedes,136,5,5,1
2012,18,sauber,124,6,6,0
2012,18,force_india,95,7,7,0
2012,18,williams,73,8,8,1
2012,18,toro_rosso,22,9,9,0
2012,18,marussia,0,10,10,0
2012,18,caterham,0,11,11,0
2012,18,hrt,0,12,12,0
2012,19,red_bull,440,1,1,7
2012,19,ferrari,367,2,2,3
2012,19,mclaren,353,3,3,6
2012,19,lotus_f1,302,4,4,1
2012,19,mercedes,136,5,5,1
2012,19,sauber,124,6,6,0
2012,19,force_india,99,7,7,0
2012,19,williams,76,8,8,1
2012,19,toro_rosso,22,9,9,0
2012,19,marussia,0,10,10,0
2012,19,caterham,0,11,11,0
2012,19,hrt,0,12,12,0
2012,20,red_bull,460,1,1,7
2012,20,ferrari,400,2,2,3
2012,20,mclaren,378,3,3,7
2012,20,lotus_f1,303,4,4,1
