year,round,constructorId,points,position,positionText,wins
2012,20,mercedes,142,5,5,1
2012,20,sauber,126,6,6,0
2012,20,force_india,109,7,7,0
2012,20,williams,76,8,8,1
2012,20,toro_rosso,26,9,9,0
2012,20,caterham,0,10,10,0
2012,20,marussia,0,11,11,0
2012,20,hrt,0,12,12,0
2013,1,ferrari,30,1,1,0
2013,1,lotus_f1,26,2,2,1
2013,1,red_bull,23,3,3,0
2013,1,mercedes,10,4,4,0
2013,1,force_india,10,5,5,0
2013,1,mclaren,2,6,6,0
2013,1,toro_rosso,0,7,7,0
2013,1,sauber,0,8,8,0
2013,1,williams,0,9,9,0
2013,1,marussia,0,10,10,0
2013,1,caterham,0,11,11,0
2013,2,red_bull,66,1,1,1
2013,2,lotus_f1,40,2,2,1
2013,2,ferrari,40,3,3,0
2013,2,mercedes,37,4,4,0
2013,2,force_india,10,5,5,0
2013,2,sauber,4,6,6,0
2013,2,mclaren,4,7,7,0
2013,2,toro_rosso,1,8,8,0
2013,2,williams,0,9,9,0
2013,2,marussia,0,10,10,0
2013,2,caterham,0,11,11,0
2013,3,red_bull,78,1,1,1
2013,3,ferrari,73,2,2,1
2013,3,lotus_f1,60,3,3,1
2013,3,mercedes,52,4,4,0
2013,3,mclaren,14,5,5,0
2013,3,force_india,14,6,6,0
2013,3,toro_rosso,7,7,7,0
2013,3,sauber,5,8,8,0
2013,3,williams,0,9,9,0
2013,3,marussia,0,10,10,0
2013,3,caterham,0,11,11,0
2013,4,red_bull,109,1,1,2
2013,4,lotus_f1,93,2,2,1
2013,4,ferrari,77,3,3,1
2013,4,mercedes,64,4,4,0
2013,4,force_india,26,5,5,0
2013,4,mclaren,23,6,6,0
2013,4,toro_rosso,7,7,7,0
2013,4,sauber,5,8,8,0
2013,4,williams,0,9,9,0
2013,4,marussia,0,10,10,0
2013,4,caterham,0,11,11,0
2013,5,red_bull,131,1,1,2
2013,5,ferrari,117,2,2,2
2013,5,lotus_f1,111,3,3,1
2013,5,mercedes,72,4,4,0
2013,5,force_india,32,5,5,0
2013,5,mclaren,29,6,6,0
2013,5,toro_rosso,8,7,7,0
2013,5,sauber,5,8,8,0
2013,5,williams,0,9,9,0
2013,5,marussia,0,10,10,0
2013,5,caterham,0,11,11,0
2013,6,red_bull,164,1,1,2
2013,6,ferrari,123,2,2,2
2013,6,lotus_f1,112,3,3,1
2013,6,mercedes,109,4,4,1
2013,6,force_india,44,5,5,0
2013,6,mclaren,37,6,6,0
2013,6,toro_rosso,12,7,7,0
2013,6,sauber,5,8,8,0
2013,6,williams,0,9,9,0
2013,6,marussia,0,10,10,0
2013,6,caterham,0,11,11,0
2013,7,red_bull,201,1,1,3
2013,7,ferrari,145,2,2,2
2013,7,mercedes,134,3,3,1
2013,7,lotus_f1,114,4,4,1
2013,7,force_india,51,5,5,0
2013,7,mclaren,37,6,6,0
2013,7,toro_rosso,20,7,7,0
2013,7,sauber,5,8,8,0
2013,7,williams,0,9,9,0
2013,7,marussia,0,10,10,0
2013,7,caterham,0,11,11,0
2013,8,red_bull,219,1,1,3
2013,8,mercedes,171,2,2,2
2013,8,ferrari,168,3,3,2
2013,8,lotus_f1,124,4,4,1
2013,8,force_india,59,5,5,0
2013,8,mclaren,37,6,6,0
2013,8,toro_rosso,24,7,7,0
2013,8,sauber,6,8,8,0
2013,8,williams,0,9,9,0
2013,8,marussia,0,10,10,0
2013,8,caterham,0,11,11,0
2013,9,red_bull,250,1,1,4
2013,9,mercedes,183,2,2,2
2013,9,ferrari,180,3,3,2
2013,9,lotus_f1,157,4,4,1
2013,9,force_india,59,5,5,0
2013,9,mclaren,49,6,6,0
2013,9,toro_rosso,24,7,7,0
2013,9,sauber,7,8,8,0
2013,9,williams,0,9,9,0
2013,9,marussia,0,10,10,0
2013,9,caterham,0,11,11,0
2013,10,red_bull,277,1,1,4
2013,10,mercedes,208,2,2,3
2013,10,ferrari,194,3,3,2
2013,10,lotus_f1,183,4,4,1
2013,10,force_india,59,5,5,0
2013,10,mclaren,57,6,6,0
2013,10,toro_rosso,24,7,7,0
2013,10,sauber,7,8,8,0
2013,10,williams,1,9,9,0
2013,10,marussia,0,10,10,0
2013,10,caterham,0,11,11,0
2013,11,red_bull,312,1,1,5
2013,11,mercedes,235,2,2,3
2013,11,ferrari,218,3,3,2
2013,11,lotus_f1,187,4,4,1
2013,11,mclaren,65,5,5,0
2013,11,force_india,61,6,6,0
2013,11,toro_rosso,25,7,7,0
2013,11,sauber,7,8,8,0
2013,11,williams,1,9,9,0
2013,11,marussia,0,10,10,0
2013,11,caterham,0,11,11,0
2013,12,red_bull,352,1,1,6
2013,12,ferrari,248,2,2,2
2013,12,mercedes,245,3,3,3
2013,12,lotus_f1,191,4,4,1
2013,12,mclaren,66,5,5,0
2013,12,force_india,61,6,6,0
2013,12,toro_rosso,31,7,7,0
2013,12,sauber,17,8,8,0
2013,12,williams,1,9,9,0
2013,12,marussia,0,10,10,0
2013,12,caterham,0,11,11,0
2013,13,red_bull,377,1,1,7
2013,13,ferrari,274,2,2,2
2013,13,mercedes,267,3,3,3
2013,13,lotus_f1,206,4,4,1
2013,13,mclaren,76,5,5,0
2013,13,force_india,62,6,6,0
2013,13,toro_rosso,31,7,7,0
2013,13,sauber,19,8,8,0
2013,13,williams,1,9,9,0
2013,13,marussia,0,10,10,0
2013,13,caterham,0,11,11,0
2013,14,red_bull,402,1,1,8
2013,14,ferrari,284,2,2,2
2013,14,mercedes,283,3,3,3
2013,14,lotus_f1,239,4,4,1
2013,14,mclaren,81,5,5,0
2013,14,force_india,62,6,6,0
2013,14,sauber,31,7,7,0
2013,14,toro_rosso,31,8,8,0
2013,14,williams,1,9,9,0
2013,14,marussia,0,10,10,0
2013,14,caterham,0,11,11,0
2013,15,red_bull,445,1,1,9
2013,15,ferrari,297,2,2,2
2013,15,mercedes,287,3,3,3
2013,15,lotus_f1,264,4,4,1
2013,15,mclaren,83,5,5,0
2013,15,force_india,62,6,6,0
2013,15,sauber,45,7,7,0
2013,15,toro_rosso,31,8,8,0
2013,15,williams,1,9,9,0
2013,15,marussia,0,10,10,0
2013,15,caterham,0,11,11,0
2013,16,red_bull,470,1,1,10
2013,16,mercedes,313,2,2,3
2013,16,ferrari,309,3,3,2
2013,16,lotus_f1,285,4,4,1
2013,16,mclaren,93,5,5,0
2013,16,force_india,68,6,6,0
2013,16,sauber,45,7,7,0
2013,16,toro_rosso,32,8,8,0
2013,16,williams,1,9,9,0
2013,16,marussia,0,10,10,0
2013,16,caterham,0,11,11,0
2013,17,red_bull,513,1,1,11
2013,17,mercedes,334,2,2,3
2013,17,ferrari,323,3,3,2
2013,17,lotus_f1,297,4,4,1
2013,17,mclaren,95,5,5,0
2013,17,force_india,77,6,6,0
2013,17,sauber,45,7,7,0
2013,17,toro_rosso,32,8,8,0
2013,17,williams,1,9,9,0
2013,17,marussia,0,10,10,0
2013,17,caterham,0,11,11,0
2013,18,red_bull,553,1,1,12
2013,18,mercedes,348,2,2,3
2013,18,ferrari,333,3,3,2
2013,18,lotus_f1,315,4,4,1
2013,18,mclaren,102,5,5,0
2013,18,force_india,77,6,6,0
2013,18,sauber,53,7,7,0
2013,18,toro_rosso,32,8,8,0
2013,18,williams,5,9,9,0
2013,18,marussia,0,10,10,0
2013,18,caterham,0,11,11,0
2013,19,red_bull,596,1,1,13
2013,19,mercedes,360,2,2,3
2013,19,ferrari,354,3,3,2
2013,19,lotus_f1,315,4,4,1
2013,19,mclaren,122,5,5,0
2013,19,force_india,77,6,6,0
2013,19,sauber,57,7,7,0
2013,19,toro_rosso,33,8,8,0
2013,19,williams,5,9,9,0
2013,19,marussia,0,10,10,0
2013,19,caterham,0,11,11,0
2014,1,mclaren,33,1,1,0
2014,1,mercedes,25,2,2,1
2014,1,ferrari,18,3,3,0
2014,1,williams,10,4,4,0
2014,1,force_india,9,5,5,0
2014,1,toro_rosso,6,6,6,0
2014,1,sauber,0,7,7,0
2014,1,marussia,0,8,8,0
2014,1,lotus_f1,0,9,9,0
2014,1,caterham,0,10,10,0
2014,1,red_bull,0,11,11,0
2014,2,mercedes,68,1,1,2
2014,2,mclaren,43,2,2,0
2014,2,ferrari,30,3,3,0
2014,2,williams,20,4,4,0
2014,2,force_india,19,5,5,0
2014,2,red_bull,15,6,6,0
2014,2,toro_rosso,7,7,7,0
2014,2,sauber,0,8,8,0
2014,2,lotus_f1,0,9,9,0
2014,2,caterham,0,10,10,0
2014,2,marussia,0,11,11,0
2014,3,mercedes,111,1,1,3
2014,3,force_india,44,2,2,0
2014,3,mclaren,43,3,3,0
2014,3,red_bull,35,4,4,0
2014,3,ferrari,33,5,5,0
2014,3,williams,30,6,6,0
2014,3,toro_rosso,7,7,7,0
2014,3,lotus_f1,0,8,8,0
2014,3,sauber,0,9,9,0
2014,3,marussia,0,10,10,0
2014,3,caterham,0,11,11,0
2014,4,mercedes,154,1,1,4
2014,4,red_bull,57,2,2,0
2014,4,force_india,54,3,3,0
2014,4,ferrari,52,4,4,0
2014,4,mclaren,43,5,5,0
2014,4,williams,36,6,6,0
2014,4,toro_rosso,8,7,7,0
2014,4,lotus_f1,0,8,8,0
2014,4,sauber,0,9,9,0
2014,4,marussia,0,10,10,0
2014,4,caterham,0,11,11,0
2014,5,mercedes,197,1,1,5
2014,5,red_bull,84,2,2,0
2014,5,ferrari,66,3,3,0
2014,5,force_india,57,4,4,0
2014,5,williams,46,5,5,0
2014,5,mclaren,43,6,6,0
2014,5,toro_rosso,8,7,7,0
2014,5,lotus_f1,4,8,8,0
2014,5,sauber,0,9,9,0
2014,5,marussia,0,10,10,0
2014,5,caterham,0,11,11,0
2014,6,mercedes,240,1,1,6
2014,6,red_bull,99,2,2,0
2014,6,ferrari,78,3,3,0
2014,6,force_india,67,4,4,0
2014,6,mclaren,52,5,5,0
2014,6,williams,52,6,6,0
2014,6,lotus_f1,8,7,7,0
2014,6,toro_rosso,8,8,8,0
2014,6,marussia,2,9,9,0
2014,6,sauber,0,10,10,0
2014,6,caterham,0,11,11,0
2014,7,mercedes,258,1,1,6
2014,7,red_bull,139,2,2,1
2014,7,ferrari,87,3,3,0
2014,7,force_india,77,4,4,0
2014,7,mclaren,66,5,5,0
2014,7,williams,58,6,6,0
2014,7,toro_rosso,12,7,7,0
2014,7,lotus_f1,8,8,8,0
2014,7,marussia,2,9,9,0
2014,7,sauber,0,10,10,0
2014,7,caterham,0,11,11,0
2014,8,mercedes,301,1,1,7
2014,8,red_bull,143,2,2,1
2014,8,ferrari,98,3,3,0
2014,8,force_india,87,4,4,0
2014,8,williams,85,5,5,0
2014,8,mclaren,72,6,6,0
2014,8,toro_rosso,12,7,7,0
2014,8,lotus_f1,8,8,8,0
2014,8,marussia,2,9,9,0
2014,8,sauber,0,10,10,0
2014,8,caterham,0,11,11,0
2014,9,mercedes,326,1,1,8
2014,9,red_bull,168,2,2,1
2014,9,ferrari,106,3,3,0
2014,9,williams,103,4,4,0
2014,9,force_india,91,5,5,0
2014,9,mclaren,90,6,6,0
2014,9,toro_rosso,15,7,7,0
2014,9,lotus_f1,8,8,8,0
2014,9,marussia,2,9,9,0
2014,9,sauber,0,10,10,0
2014,9,caterham,0,11,11,0
2014,10,mercedes,366,1,1,9
2014,10,red_bull,188,2,2,1
2014,10,williams,121,3,3,0
2014,10,ferrari,116,4,4,0
2014,10,force_india,98,5,5,0
2014,10,mclaren,96,6,6,0
2014,10,toro_rosso,15,7,7,0
2014,10,lotus_f1,8,8,8,0
2014,10,marussia,2,9,9,0
2014,10,sauber,0,10,10,0
2014,10,caterham,0,11,11,0
2014,11,mercedes,393,1,1,9
2014,11,red_bull,219,2,2,2
2014,11,ferrari,142,3,3,0
2014,11,williams,135,4,4,0
2014,11,force_india,98,5,5,0
2014,11,mclaren,97,6,6,0
2014,11,toro_rosso,17,7,7,0
2014,11,lotus_f1,8,8,8,0
2014,11,marussia,2,9,9,0
2014,11,sauber,0,10,10,0
2014,11,caterham,0,11,11,0
2014,12,mercedes,411,1,1,9
2014,12,red_bull,254,2,2,3
2014,12,ferrari,160,3,3,0
2014,12,williams,150,4,4,0
2014,12,mclaren,105,5,5,0
2014,12,force_india,103,6,6,0
2014,12,toro_rosso,19,7,7,0
2014,12,lotus_f1,8,8,8,0
2014,12,marussia,2,9,9,0
2014,12,sauber,0,10,10,0
2014,12,caterham,0,11,11,0
2014,13,mercedes,454,1,1,10
2014,13,red_bull,272,2,2,3
2014,13,williams,177,3,3,0
2014,13,ferrari,162,4,4,0
2014,13,mclaren,110,5,5,0
2014,13,force_india,109,6,6,0
2014,13,toro_rosso,19,7,7,0
2014,13,lotus_f1,8,8,8,0
2014,13,marussia,2,9,9,0
2014,13,sauber,0,10,10,0
2014,13,caterham,0,11,11,0
2014,14,mercedes,479,1,1,11
2014,14,red_bull,305,2,2,3
2014,14,williams,187,3,3,0
2014,14,ferrari,178,4,4,0
2014,14,force_india,117,5,5,0
2014,14,mclaren,111,6,6,0
2014,14,toro_rosso,27,7,7,0
2014,14,lotus_f1,8,8,8,0
2014,14,marussia,2,9,9,0
2014,14,sauber,0,10,10,0
2014,14,caterham,0,11,11,0
2014,15,mercedes,522,1,1,12
2014,15,red_bull,332,2,2,3
2014,15,williams,201,3,3,0
2014,15,ferrari,178,4,4,0
2014,15,force_india,122,5,5,0
2014,15,mclaren,121,6,6,0
2014,15,toro_rosso,29,7,7,0
2014,15,lotus_f1,8,8,8,0
2014,15,marussia,2,9,9,0
2014,15,sauber,0,10,10,0
2014,15,caterham,0,11,11,0
2014,16,mercedes,565,1,1,13
2014,16,red_bull,342,2,2,3
2014,16,williams,216,3,3,0
2014,16,ferrari,188,4,4,0
2014,16,mclaren,143,5,5,0
2014,16,force_india,123,6,6,0
2014,16,toro_rosso,29,7,7,0
2014,16,lotus_f1,8,8,8,0
2014,16,marussia,2,9,9,0
2014,16,sauber,0,10,10,0
2014,16,caterham,0,11,11,0
2014,17,mercedes,608,1,1,14
2014,17,red_bull,363,2,2,3
2014,17,williams,238,3,3,0
2014,17,ferrari,196,4,4,0
2014,17,mclaren,147,5,5,0
2014,17,force_india,123,6,6,0
2014,17,toro_rosso,30,7,7,0
2014,17,lotus_f1,10,8,8,0
2014,17,marussia,2,9,9,0
2014,17,sauber,0,10,10,0
2014,17,caterham,0,11,11,0
2014,18,mercedes,651,1,1,15
2014,18,red_bull,373,2,2,3
2014,18,williams,254,3,3,0
2014,18,ferrari,210,4,4,0
2014,18,mclaren,161,5,5,0
2014,18,force_india,127,6,6,0
2014,18,toro_rosso,30,7,7,0
2014,18,lotus_f1,10,8,8,0
2014,18,marussia,2,9,9,0
2014,18,sauber,0,10,10,0
2014,18,caterham,0,11,11,0
2014,19,mercedes,701,1,1,16
2014,19,red_bull,405,2,2,3
2014,19,williams,320,3,3,0
2014,19,ferrari,216,4,4,0
2014,19,mclaren,181,5,5,0
2014,19,force_india,155,6,6,0
2014,19,toro_rosso,30,7,7,0
2014,19,lotus_f1,10,8,8,0
2014,19,marussia,2,9,9,0
2014,19,sauber,0,10,10,0
2014,19,caterham,0,11,11,0
2015,1,mercedes,43,1,1,1
2015,1,ferrari,15,2,2,0
2015,1,sauber,14,3,3,0
2015,1,williams,12,4,4,0
2015,1,red_bull,8,5,5,0
2015,1,force_india,7,6,6,0
2015,1,toro_rosso,2,7,7,0
2015,1,mclaren,0,8,8,0
2015,1,lotus_f1,0,9,9,0
2015,2,mercedes,76,1,1,1
2015,2,ferrari,52,2,2,1
2015,2,williams,30,3,3,0
2015,2,sauber,14,4,4,0
2015,2,toro_rosso,12,5,5,0
2015,2,red_bull,11,6,6,0
2015,2,force_india,7,7,7,0
2015,2,lotus_f1,0,8,8,0
2015,2,mclaren,0,9,9,0
2015,2,manor,0,10,10,0
2015,3,mercedes,119,1,1,2
2015,3,ferrari,79,2,2,1
2015,3,williams,48,3,3,0
2015,3,sauber,19,4,4,0
2015,3,red_bull,13,5,5,0
2015,3,toro_rosso,12,6,6,0
2015,3,force_india,7,7,7,0
2015,3,lotus_f1,6,8,8,0
2015,3,mclaren,0,9,9,0
2015,3,manor,0,10,10,0
2015,4,mercedes,159,1,1,3
2015,4,ferrari,107,2,2,1
2015,4,williams,61,3,3,0
2015,4,red_bull,23,4,4,0
2015,4,sauber,19,5,5,0
2015,4,lotus_f1,12,6,6,0
2015,4,toro_rosso,12,7,7,0
2015,4,force_india,11,8,8,0
2015,4,mclaren,0,9,9,0
2015,4,manor,0,10,10,0
2015,5,mercedes,202,1,1,4
2015,5,ferrari,132,2,2,1
2015,5,williams,81,3,3,0
2015,5,red_bull,30,4,4,0
2015,5,sauber,19,5,5,0
2015,5,lotus_f1,16,6,6,0
2015,5,toro_rosso,14,7,7,0
2015,5,force_india,11,8,8,0
2015,5,mclaren,0,9,9,0
2015,5,manor,0,10,10,0
2015,6,mercedes,242,1,1,5
2015,6,ferrari,158,2,2,1
2015,6,williams,81,3,3,0
2015,6,red_bull,52,4,4,0
2015,6,sauber,21,5,5,0
2015,6,force_india,17,6,6,0
2015,6,lotus_f1,16,7,7,0
2015,6,toro_rosso,15,8,8,0
2015,6,mclaren,4,9,9,0
2015,6,manor,0,10,10,0
2015,7,mercedes,285,1,1,6
2015,7,ferrari,180,2,2,1
2015,7,williams,104,3,3,0
2015,7,red_bull,54,4,4,0
2015,7,lotus_f1,23,5,5,0
2015,7,sauber,21,6,6,0
2015,7,force_india,21,7,7,0
2015,7,toro_rosso,15,8,8,0
2015,7,mclaren,4,9,9,0
2015,7,manor,0,10,10,0
2015,8,mercedes,328,1,1,7
2015,8,ferrari,192,2,2,1
2015,8,williams,129,3,3,0
2015,8,red_bull,55,4,4,0
2015,8,force_india,31,5,5,0
2015,8,lotus_f1,29,6,6,0
2015,8,sauber,21,7,7,0
2015,8,toro_rosso,19,8,8,0
2015,8,mclaren,4,9,9,0
2015,8,manor,0,10,10,0
2015,9,mercedes,371,1,1,8
2015,9,ferrari,211,2,2,1
2015,9,williams,151,3,3,0
2015,9,red_bull,63,4,4,0
2015,9,force_india,39,5,5,0
2015,9,lotus_f1,29,6,6,0
2015,9,sauber,21,7,7,0
2015,9,toro_rosso,19,8,8,0
2015,9,mclaren,5,9,9,0
2015,9,manor,0,10,10,0
2015,10,mercedes,383,1,1,8
2015,10,ferrari,236,2,2,2
2015,10,williams,151,3,3,0
2015,10,red_bull,96,4,4,0
2015,10,force_india,39,5,5,0
2015,10,lotus_f1,35,6,6,0
2015,10,toro_rosso,31,7,7,0
2015,10,sauber,22,8,8,0
2015,10,mclaren,17,9,9,0
2015,10,manor,0,10,10,0
2015,11,mercedes,426,1,1,9
2015,11,ferrari,242,2,2,2
2015,11,williams,161,3,3,0
2015,11,red_bull,108,4,4,0
2015,11,lotus_f1,50,5,5,0
2015,11,force_india,49,6,6,0
2015,11,toro_rosso,35,7,7,0
2015,11,sauber,23,8,8,0
2015,11,mclaren,17,9,9,0
2015,11,manor,0,10,10,0
2015,12,mercedes,451,1,1,10
2015,12,ferrari,270,2,2,2
2015,12,williams,188,3,3,0
2015,12,red_bull,113,4,4,0
2015,12,force_india,63,5,5,0
2015,12,lotus_f1,50,6,6,0
2015,12,toro_rosso,35,7,7,0
2015,12,sauber,25,8,8,0
2015,12,mclaren,17,9,9,0
2015,12,manor,0,10,10,0
2015,13,mercedes,463,1,1,10
2015,13,ferrari,310,2,2,3
2015,13,williams,198,3,3,0
2015,13,red_bull,139,4,4,0
2015,13,force_india,69,5,5,0
2015,13,lotus_f1,50,6,6,0
2015,13,toro_rosso,41,7,7,0
2015,13,sauber,26,8,8,0
2015,13,mclaren,17,9,9,0
2015,13,manor,0,10,10,0
2015,14,mercedes,506,1,1,11
2015,14,ferrari,337,2,2,3
2015,14,williams,208,3,3,0
2015,14,red_bull,139,4,4,0
2015,14,force_india,77,5,5,0
2015,14,lotus_f1,60,6,6,0
2015,14,toro_rosso,44,7,7,0
2015,14,sauber,26,8,8,0
2015,14,mclaren,17,9,9,0
2015,14,manor,0,10,10,0
2015,15,mercedes,531,1,1,12
2015,15,ferrari,359,2,2,3
2015,15,williams,220,3,3,0
2015,15,red_bull,149,4,4,0
2015,15,force_india,92,5,5,0
2015,15,lotus_f1,66,6,6,0
2015,15,toro_rosso,45,7,7,0
2015,15,sauber,34,8,8,0
2015,15,mclaren,19,9,9,0
2015,15,manor,0,10,10,0
2015,16,mercedes,574,1,1,13
2015,16,ferrari,374,2,2,3
2015,16,williams,220,3,3,0
2015,16,red_bull,150,4,4,0
2015,16,force_india,102,5,5,0
2015,16,lotus_f1,70,6,6,0
2015,16,toro_rosso,63,7,7,0
2015,16,sauber,36,8,8,0
2015,16,mclaren,27,9,9,0
2015,16,manor,0,10,10,0
2015,17,mercedes,617,1,1,14
2015,17,ferrari,374,2,2,3
2015,17,williams,243,3,3,0
2015,17,red_bull,172,4,4,0
2015,17,force_india,112,5,5,0
2015,17,lotus_f1,71,6,6,0
2015,17,toro_rosso,65,7,7,0
2015,17,sauber,36,8,8,0
2015,17,mclaren,27,9,9,0
2015,17,manor,0,10,10,0
2015,18,mercedes,660,1,1,15
2015,18,ferrari,401,2,2,3
2015,18,williams,253,3,3,0
2015,18,red_bull,178,4,4,0
2015,18,force_india,120,5,5,0
2015,18,lotus_f1,76,6,6,0
2015,18,toro_rosso,67,7,7,0
2015,18,sauber,36,8,8,0
2015,18,mclaren,27,9,9,0
2015,18,manor,0,10,10,0
2015,19,mercedes,703,1,1,16
2015,19,ferrari,428,2,2,3
2015,19,williams,257,3,3,0
2015,19,red_bull,187,4,4,0
2015,19,force_india,136,5,5,0
2015,19,lotus_f1,78,6,6,0
2015,19,toro_rosso,67,7,7,0
2015,19,sauber,36,8,8,0
2015,19,mclaren,27,9,9,0
2015,19,manor,0,10,10,0
2016,1,mercedes,43,1,1,1
2016,1,ferrari,15,2,2,0
2016,1,williams,14,3,3,0
2016,1,red_bull,12,4,4,0
2016,1,haas,8,5,5,0
2016,1,force_india,6,6,6,0
2016,1,toro_rosso,3,7,7,0
2016,1,renault,0,8,8,0
2016,1,mclaren,0,9,9,0
2016,1,sauber,0,10,10,0
2016,1,manor,0,11,11,0
2016,2,mercedes,83,1,1,2
2016,2,ferrari,33,2,2,0
2016,2,red_bull,30,3,3,0
2016,2,williams,20,4,4,0
2016,2,haas,18,5,5,0
2016,2,toro_rosso,11,6,6,0
2016,2,force_india,6,7,7,0
2016,2,mclaren,1,8,8,0
2016,2,renault,0,9,9,0
2016,2,sauber,0,10,10,0
2016,2,manor,0,11,11,0
2016,3,mercedes,114,1,1,3
2016,3,ferrari,61,2,2,0
2016,3,red_bull,57,3,3,0
2016,3,williams,29,4,4,0
2016,3,haas,18,5,5,0
2016,3,toro_rosso,17,6,6,0
2016,3,force_india,6,7,7,0
2016,3,mclaren,1,8,8,0
2016,3,renault,0,9,9,0
2016,3,sauber,0,10,10,0
2016,3,manor,0,11,11,0
2016,4,mercedes,157,1,1,4
2016,4,ferrari,76,2,2,0
2016,4,red_bull,57,3,3,0
2016,4,williams,51,4,4,0
2016,4,haas,22,5,5,0
2016,4,toro_rosso,17,6,6,0
2016,4,mclaren,10,7,7,0
2016,4,force_india,8,8,8,0
2016,4,renault,6,9,9,0
2016,4,sauber,0,10,10,0
2016,4,manor,0,11,11,0
2016,5,mercedes,157,1,1,4
2016,5,ferrari,109,2,2,0
2016,5,red_bull,94,3,3,1
2016,5,williams,65,4,4,0
2016,5,toro_rosso,26,5,5,0
2016,5,haas,22,6,6,0
2016,5,force_india,14,7,7,0
2016,5,mclaren,12,8,8,0
2016,5,renault,6,9,9,0
2016,5,sauber,0,10,10,0
2016,5,manor,0,11,11,0
2016,6,mercedes,188,1,1,5
2016,6,ferrari,121,2,2,0
2016,6,red_bull,112,3,3,1
2016,6,williams,66,4,4,0
2016,6,force_india,37,5,5,0
2016,6,toro_rosso,30,6,6,0
2016,6,mclaren,24,7,7,0
2016,6,haas,22,8,8,0
2016,6,renault,6,9,9,0
2016,6,sauber,0,10,10,0
2016,6,manor,0,11,11,0
2016,7,mercedes,223,1,1,6
2016,7,ferrari,147,2,2,0
2016,7,red_bull,130,3,3,1
2016,7,williams,81,4,4,0
2016,7,force_india,42,5,5,0
2016,7,toro_rosso,32,6,6,0
